"","Taxonomic_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sig","lab","xvals","yvals","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"7042","7042",0.277268082778919,-0.137904038207318,0.693876501561656,-0.209995680640948,0.833671044226217,0.999599735494037,"NS",NA,-0.137904038207318,0.833671044226217,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA
"7055","7055",1.33805754207354,-0.0658848045348911,0.767522067270058,-0.0953557392040031,0.924032270820785,0.999599735494037,"NS",NA,-0.0658848045348911,0.924032270820785,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae",NA,NA
"7089","7089",7.32859499060434,0.125210096457264,0.870276412104109,0.0974820396321457,0.922343596592115,0.999599735494037,"NS",NA,0.125210096457264,0.922343596592115,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Bombycidae",NA,NA
"7100","7100",4.33289533976107,-1.50956249877578,0.870439173075866,-2.01250577420116,0.0441666486166497,0.999599735494037,"FC",NA,-1.50956249877578,0.0441666486166497,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae",NA,NA
"7114","7114",0.471005359938751,0.0871053718416595,0.697099491212644,0.16445923510001,0.869369635426644,0.999599735494037,"NS",NA,0.0871053718416595,0.869369635426644,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Pieridae",NA,NA
"7128","7128",0.706984337053879,0.192942522601198,0.731461580678742,0.213444321660135,0.830980413220996,0.999599735494037,"NS",NA,0.192942522601198,0.830980413220996,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Sphingidae",NA,NA
"7135","7135",370.322990634262,-1.19874213595473,0.854008500821969,-1.50514137375645,0.132287733908911,0.999599735494037,"FC",NA,-1.19874213595473,0.132287733908911,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Pyralidae",NA,NA
"7157","7157",1.29645199388774,0.139117660182473,0.816946090313973,0.244390210484039,0.8069286228607,0.999599735494037,"NS",NA,0.139117660182473,0.8069286228607,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Culicidae",NA,NA
"7211","7211",0.760549427465628,0.521948223150479,0.73598639135979,0.731321791874065,0.464582622856944,0.999599735494037,"NS",NA,0.521948223150479,0.464582622856944,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Tephritidae",NA,NA
"7366","7366",0.349718977643329,0.273297112072653,0.692622230220859,0.477704458477314,0.632860570563406,0.999599735494037,"NS",NA,0.273297112072653,0.632860570563406,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Muscidae",NA,NA
"7371","7371",0.910175538362245,-0.172287348247874,0.803666688606291,-0.21641687034838,0.828662817213796,0.999599735494037,"NS",NA,-0.172287348247874,0.828662817213796,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Calliphoridae",NA,NA
"7402","7402",0.670273550575376,-0.13567041788553,0.801223974774145,-0.238265150970074,0.811675448572338,0.999599735494037,"NS",NA,-0.13567041788553,0.811675448572338,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"7438","7438",0.277268082778919,-0.137904038207318,0.693876501561656,-0.209995680640948,0.833671044226217,0.999599735494037,"NS",NA,-0.137904038207318,0.833671044226217,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Vespidae",NA,NA
"7458","7458",898.086304434366,0.294026623568364,0.662927647589372,0.455352631032979,0.648855567828215,0.999599735494037,"NS",NA,0.294026623568364,0.648855567828215,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae",NA,NA
"7501","7501",0.111830406574786,0.117171892009819,0.690959272828145,0.16932579274968,0.865540389217938,0.999599735494037,"NS",NA,0.117171892009819,0.865540389217938,"Eukaryota","Metazoa","Arthropoda","Insecta","Blattodea","Termopsidae",NA,NA
"10442","10442",0.631671253944549,-0.2325849053095,0.715055270425992,-0.310225315646846,0.756389620447066,0.999599735494037,"NS",NA,-0.2325849053095,0.756389620447066,"Viruses",NA,NA,NA,NA,"Baculoviridae",NA,NA
"10508","10508",0.111830406574786,0.117171892009819,0.690959272828145,0.16932579274968,0.865540389217938,0.999599735494037,"NS",NA,0.117171892009819,0.865540389217938,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae",NA,NA
"10662","10662",187.185498745653,-0.146096701011093,0.656417204871341,-0.240594739759533,0.80986922751051,0.999599735494037,"NS",NA,-0.146096701011093,0.80986922751051,"Viruses",NA,"Uroviricota","Caudoviricetes","Caudovirales","Myoviridae",NA,NA
"10699","10699",864.146867042376,-0.686407269759318,0.732536568936953,-0.966845172183753,0.333621438761129,0.999599735494037,"NS",NA,-0.686407269759318,0.333621438761129,"Viruses",NA,"Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae",NA,NA
