"","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7"
"1761016",1.26584443978047,0,0,0,0,0,0,0
"1775880",1.26584443978047,0.937375560111837,0,0,1.53325904515259,0,0,0
"1778262",1.26584443978047,0,0,0,1.53325904515259,0,0.598614952599404,0
"1785128",1.26584443978047,0,0,0,1.0221726967684,0,0,0
"1795043",2.53168887956094,0,0,0,0,0.551436309043281,0,0
"1795874",1.26584443978047,0,0,0,0,0,0,0
"1809055",1.26584443978047,0,0,0,1.53325904515259,0,0.598614952599404,0
"1827481",1.26584443978047,0,0,0,0,0,0,0
"1835702",2.53168887956094,0,0,0,0,0,0,0
"1857654",6.32922219890236,0.937375560111837,3.59051164409902,0,2.04434539353679,0,1.79584485779821,0
"1891675",1.26584443978047,0,0,0,0,0,0,0
"1903714",1.26584443978047,0,0.598418607349836,0,0,0,0.598614952599404,0
"1905288",20.2535110364876,0,0.598418607349836,0,29.1319218578993,10.4772898718223,0.598614952599404,0
"1909732",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"1914861",934.193196557988,0,2.99209303674918,0,1022.1726967684,0,0.598614952599404,5.49077573391586
"1933880",1.26584443978047,0.937375560111837,0,0,0,0,0,0
"2018007",1.26584443978047,0,1.19683721469967,0,0.511086348384198,0,0,0
"2018305",1.26584443978047,0,0,0,0,0,0,0
"2026720",1.26584443978047,0,0,0,0,0,0,0
"2027919",2.53168887956094,0,0,0,2.55543174192099,0.551436309043281,1.19722990519881,0
"2029986",2.53168887956094,0,0,0,2.04434539353679,0,0,0
"2057025",1.26584443978047,0,0,0,2.04434539353679,0,0,0
"2059264",3.79753331934142,0,0,0,1.53325904515259,0,0,0
"2070539",1.26584443978047,0,0,0,3.06651809030519,0.551436309043281,0,0
"2079596",1.26584443978047,0,0,0,1.0221726967684,0,0,0
"2080419",1.26584443978047,0,0,0,0,0,0,0
"2082949",1.26584443978047,0,0,0,0,0,0,0
"2126069",2.53168887956094,0,0.598418607349836,0,0.511086348384198,0,0,0
"2126321",1.26584443978047,0,0,0,0,0.551436309043281,0,0
"2136182",1.26584443978047,0,0,0,0.511086348384198,0,0,16.4723272017476
"2153385",1.26584443978047,0,0,0,1.0221726967684,0,0,0
"2170413",269.624865673241,516.493933621622,1307.54465705939,450.629335707292,1058.97091385206,599.411267930047,1674.32602242053,93.3431874765696
"2171755",1.26584443978047,0,0,1.72654917895514,0,0,0,0
"2172029",1.26584443978047,0,0,0,0,0,0,0
"2202564",34.1777998740727,208.097374344828,184.911349671099,139.850483495366,56.2194983222618,82.1640100474489,114.335455946486,5.49077573391586
"2249431",0,0,0,0,0,0.551436309043281,0,0
"2267679",15.1901332773657,0,0,0,1.0221726967684,1.10287261808656,0,0
"2315217",1.26584443978047,0,2.39367442939934,0,0,0,0.598614952599404,0
"2419772",3.79753331934142,2.81212668033551,8.97627911024754,5.17964753686542,6.64412252899458,6.06579939947609,12.5709140045875,0
"2447890",3.79753331934142,0,0,0,5.11086348384198,0,0,0
"2487345",170.888999370364,69.3657914482759,309.980838607215,122.584991705815,450.778159274863,183.076854602369,779.396668284424,93.3431874765696
"2488567",3.79753331934142,0,0,0,1.0221726967684,0,0,0
"2499074",10.1267555182438,0,0,0,5.11086348384198,0,0,0
"2500547",3.79753331934142,0,0.598418607349836,0,18.9101948902153,0,0.598614952599404,0
"2582905",1.26584443978047,0,0,0,0,0,0,0
"2583577",15.1901332773657,0.937375560111837,0,3.45309835791028,7.15520887737877,0,0,0
"2588708",1.26584443978047,0,0,0,0,0,0,0
"2591635",2.53168887956094,0,0,0,3.06651809030519,0,0,0
"2603276",73.4189775072674,0,0,0,15.3325904515259,0,0,5.49077573391586
