"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"144","41773",1,1,0,0,0,0,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Berberidaceae",NA,NA
"145","41819",1,0,1,2,0,1,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA
"146","43873",1,0,0,0,0,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Zygophyllales","Zygophyllaceae",NA,NA
"147","44985",2,0,0,0,0,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Hyacinthaceae",NA,NA
"148","45053",22,7,27,13,8,0,25,21,"Eukaryota","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae",NA,NA
"149","45349",1,0,0,0,0,0,0,0,"Eukaryota","Metazoa","Cnidaria","Anthozoa","Actiniaria","Edwardsiidae",NA,NA
"150","49546",10,58,6,0,28,25,4,21,"Bacteria",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"151","49662",1,0,0,0,0,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Pandanales","Stemonaceae",NA,NA
"152","50234",2,1,3,0,2,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Alismatales","Butomaceae",NA,NA
"153","51377",8,2,4,2,14,7,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Cynomoriaceae",NA,NA
"154","61893",1,0,0,0,0,0,0,0,"Eukaryota","Metazoa","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae",NA,NA
"155","63083",14,6,4,65,9,0,2,25,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Tamaricaceae",NA,NA
"156","65355",5,1,0,4,7,5,2,4,"Eukaryota",NA,NA,"Oomycota","Albuginales","Albuginaceae",NA,NA
"157","69277",1,2,1,6,0,0,1,8,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae",NA,NA
"158","69450",2,119,20,48,0,742,34,87,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Cistaceae",NA,NA
"159","72034",1,0,2,2,0,1,1,4,"Eukaryota","Metazoa","Arthropoda","Hexanauplia","Siphonostomatoida","Caligidae",NA,NA
"160","72294",1,2,0,0,0,7,1,4,"Bacteria",NA,"Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae",NA,NA
"161","75682",17,5,31,10,7,1,70,70,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"162","75787",1,4,0,0,0,1,2,0,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"163","76892",4,23,3,8,2,5,4,41,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA
"164","77572",1,0,1,0,0,0,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Halictidae",NA,NA
"165","80864",1,1725,16,6,2,49,76,45,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"166","81850",1196,33,76,95,1213,20,119,95,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae",NA,NA
"167","81852",52,7,5,4,25,17,9,12,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",NA,NA
"168","83778",1,0,0,0,0,0,0,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae",NA,NA
"169","83869",30,0,0,0,17,0,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Margarodidae",NA,NA
"170","84566",1,1,0,0,3,2,0,8,"Bacteria",NA,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA
"171","84642",1,10,7,2,7,3,14,4,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",NA,NA
"172","85015",8,0,1,0,2,1,0,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae",NA,NA
"173","85019",3,7,0,2,1,0,1,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae",NA,NA
"174","85020",3,5,1,0,2,0,2,8,"Bacteria",NA,"Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae",NA,NA
"175","85023",24,4,17,4,10,4,26,29,"Bacteria",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA
"176","85030",1,0,0,2,1,0,0,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae",NA,NA
"177","89373",1,0,0,2,6,0,0,0,"Bacteria",NA,"Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA
"178","90964",30,594,145,251,15,137,34,2559,"Bacteria",NA,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae",NA,NA
"179","91851",1,2,2,0,1,2,0,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Nitrariaceae",NA,NA
"180","91896",38,21,41,17,50,11,38,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae",NA,NA
"181","109261",24,79,49,61,47,34,65,25,"Eukaryota","Metazoa","Arthropoda","Arachnida","Mesostigmata","Varroidae",NA,NA
"182","110618",1,1,6,2,0,3,6,0,"Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",NA,NA
